turkish,english
Ben çocukları çıktıkları odaya soktum.,I herded the children back into their room.
Bahçeden biri feneri sallaya sallaya yürüyordu.,Someone was swinging a lantern and walking in the garden.
"— Mesele çok daha ciddi, Paşam.",“More serious than that.
Ne mektuptu o.,What kind of letter was that?
Yemeklerimizi Karargâh’ta yiyorduk.,We had our meals at headquarters.
"İki minder, iki yorgan. Bir çam bardak, bir tencere, bir sac, un, başka da can sağlığı, gerisini sen düşün. Memed:","""Two mattresses, two blankets, a wooden bowl, a saucepan, a griddle, flour, and good health."" Hatche then added: ""You can think of the rest."""
"Hoca'dan, vebadan uzak bir yer düşlüyordum.","I was dreaming of a place far from Hoja, far from the plague."
"Bunları anlatırken yüzü rahat, gülümser gibiydi.",While she was explaining all this her face was calm and smiling.
Mehpare özür dileyerek masadan kalkıp banyoya koştu.,Mehpare excused herself and rushed off to the bathroom.
"— Seni gitmeden önce görmek isterim, Hilmi.","“I shall see you before you go, Hilmi.” - “TI don’t think so; I must say good-bye to my friends.” “You cannot leave the house."
"""Ne?""",“What?”
"Seni İnce Memed öldürmezse, ben öldürürüm, dedi. Topalda öd kalmadı bunun üstüne.","'If Memed doesn't kill you, I'll do it,' she said."
"O insanın midesini allak bullak eden ağır soslar, adı bile tiksinti veren sümüklü böcekler, salyangozlar, ayak kokulu peynirler...""","Those heavy sauces play havoc with your digestion, and just the thought of swallowing snails makes me want to throw up. And as for that cheese that smells like sweaty feet…”"
— Bizi düşmana mı bırakacaksın?,“How will you leave us to the enemy?”
Sonra da delice bir rüzgar savurmaya başladı.,Soon a wild blizzard was blowing.
Çayından bir yudum aldı.,She sipped her tea.
"Ancak o, yakın dostlarının uzun süre sonra söylediklerine bakılacak olursa, bu ‘seferberliği’ sadece büyük bir şükran duygusuyla değil, hayatının en büyük utançlarından biri olarak da taşımıştı.","According to the accounts of his next-of-kin, his mobilization was not simply the cause of a repayment of gratitude, but also one of the greatest disgraces of his life; a disgrace or a sense of defeat one can only acknowledge with difficulty ."
"Büyükler dört kişi poker oynarlarken, Bülent'le Sitare, Rasin'i de peşlerine takıp kısa bir yürüyüşe çıktılar.","Afterward, the adults sat down to poker, and the children went for a walk."
"Bütün çirkinliğiyle ve bu çirkinliği insan ruhunun derinliklerine doğru uzatan kötü huylarıyla onu olduğum yerden görüyordum. İlmî menâfiülâzânın kaydettiği bütün menfi hasletler onda vardı. Alın, hemen hemen yok denecek kadar dardı.","I saw him in all his ugliness. I saw how his vile disposition had eaten through his gross form, seeping into the depths of his mortal soul."
Bir şişe şarabı az önce bitirmişlerdi.,They had finished the wine some time ago.
"Ben sizin adınızı verdim. ""","They needed a replacement, and I suggested you.”"
Yakında belki onu da evlenmelerinin aleyhine döndüreceklerdi.,They might soon enough sway Nuran against the marriage.
Antepte uzun zaman kaldığı muhakkaktı. Antepten çok söz açardı.,He had obviously lived there for quite a while and often spoke of that part of the country.
"Her beş dakikada bir, iki atlı arabayı durduruyor ve mendil istiyordu. Gelinin hep laterna çalan ablası bana:",Every five minutes the two leading horsemen stopped the carriage and asked for handkerchiefs.
"""Sizin burada ne işiniz var?""",“What on earth are you doing here?”
"Dilaşub'da düşündüğü ihanet, tövbeler olsun Allah'ın kudretine zulmü yakıştıracak kadar inancını sarsmıştı. Sevgi duygusuna ve kaybettiklerinin üzüntüsüne de bir türlü karşı duramadığından her türlü ernelinden isteyerek kendini mahrum ede ede çıldırmış bir sevdazede gibiydi. Ne yapacağını bilmemeye ve her aklına gelen vesileden bir neşe çaresi aramaya başladı.","The betrayal of Dila§ub spoiled his beliefs to the extent that he would consider God as cruel, and he tried every possible way to cheer up for a while and forget the bad things in his life, as he was not able to resist the dragging of love and the disappearance of his sorrow."
Çocuğun yumuşak halıda kaybolan ayak seslerini evvelâ Peregrini’nin hassas kulakları sezdi ve birdenbire döndü.,"Peregrini first heard her footsteps on the thick carpet, and turned."
"Bu şehirde olmayı, şehrin vücudunda nabız gibi atan şevki seviyordu. Küçüklüğünden beri severdi buraya gelmeyi; babası ve Şuşan ninesiyle kalmayı.","She liked being in this city, its vim and vigor pulsating in her body Ever since she was a toddler she had enjoyed coming here and living with her dad and Grandma Shushan."
"Tekrar doğacaktınız, halbuki olduğu gibi kaldınız…","You were to be reborn, but you have remained exactly the same.”"
"Aradan geçen, başka bir iklimde, başka bir hayatı yaşamayı denediği zaman içinde çok yol almış, çok ‘büyümüş’, çok yalnız kalmıştı.","When, under another climate he had found himself hedged in by different prevailing conditions, he had felt he had already covered a good distance; he was grown up and experienced what loneliness was."
Fakat zavallı kuşun sevdalı hallerine bakılırsa o ufacık gönlünde ne büyük bir aşkın izi hissedilir.,"But as I gaze at the loving attitude of this poor bird, I cannot help believing that a lofty love is hiding in its tiny heart."
diye gülümsedi.,"asked Durmush Ali, smiling."
"Yaşlı, güngörmüş, eski bir Rus beyefendisiydi anlattığı...",The hero of the story was an elderly Russian gentleman.
"Doktor Fahri, çantasından çıkardığı bir şişeyi koklattı yaşlı adama, gömleğinin düğmelerini çözdü, nabzını sayarken Macit'e bakarak, ""Cankurtarana haber verin, beyefendiyi hastaneye götüreceğim,"" dedi, ""evde kolonya var mı?""","Dr. Fahri asked the old man to sniff from a bottle he took from his bag; he unbuttoned the patient’s shirt and, taking his pulse, asked Macit to call an ambulance."
Bahçeye döndüğü zaman Tevfik Beyi olduğu yerde buldu.,Mümtaz returned to the garden to discover Tevfik sitting right where he’d been.
"""ingiltere'nin Sofya sefiri, yeni gelmişmiş istanbul'a, înönü ile görüşmek için gelmişmiş.",“I understand the British ambassador to Sofia is on a visit to Istanbul. They say he has come to see Inönü.
"Sabah, ateşe verilmiş bir köyün içinden ağır ağır geçiyorduk, bir duvarın dibinde can çekişen yaralıları görünce atından inip yanlarına koştu.","One morning as we were picking our way slowly through a village hit by our cannon fire, he dismounted when he saw the wounded dying in agony at the foot of a wall, and ran up to them."
"- İzne lüzum yok, boşandılar… dedi,.","“There’s no need. They’re getting divorced,” she said."
"Tek ihtiyacı, günün sonunda karşısında nezaketle oturup, pişirdiklerini tebessümle yiyecek efendi bir kocaydı. Onu ve pişirdiği yemekleri gerçekten sevecek bir adam. Aynen böyle!","All she needed was a man who would sit across from her at the end of the day A man who would truly love her, and her cooking."
diye kekeledi Mustafa karısının koluna yapışarak.,"Mustafa squeezed his wife's arm, harder than he intended."
"O zaman kozmik zamandan insanın, hayatın zamanına geçilirdi.",Then one could pass from cosmic time to the plane of people and life.
"Babamın katlinde parmağı olmadığına iyice ikna olana kadar bu odadan çıkmayacağım, dedim kendi kendime.",I told myself that I wouldn’t leave this room until I was absolutely convinced that Black had nothing whatsoever to do with my father’s death.
Kesif yaşasınlar yeter.,It’s enough that they live their lives to the utmost.
Kimseye gönül düşürmedim.,That never happened.
"Kapıyı açan adam, Fransızca azarladı genç kadını,",The man who answered the door told her off in French.
Başka hiçbir şey istemiyordu.,That was all she wanted.
"Benden korkma, emin ol! diyor. Küçük ve doğrusunu isterseniz son derece maharetli bir jest.","He’s saying, ‘Do not fear me, have conviction!’ A trivial, but if you want to know the truth, extremely cunning, gesture."
"Genç kadın kocasının, taa Galatasaray günlerinden beri tanıdığı, çok sevdiği ve doktora tezini yazmasında yardımcı olan hocasına gönüllü asistanlık yaptığını sanıyordu.","She thought that her husband had volunteered to become the assistant of his beloved professor from the lycée, the same professor who had helped him with his thesis."
"Saklamak istediğim şeyi, karımın bizi şimdi dikizlemekte olduğu odaya saklayamaz mıydım sanki?","Indeed, couldn’t I conceal my wife — the only thing I wanted to hide — in the room from which she was now spying on us?"
Derken gün battı. Karanlık kavuştu.,The sun sank and darkness fell.
Kazvin'in en büyük üstatları bile üst üste iki erkeği çizerken zorlanır; her şeyi birbirine karıştırır.,Even the greatest masters of Kazvin would have difficulty drawing two men on top of each other; they’d confuse everything.
"Başkalarının, kendisini gereğince, hak ettiğince göremeyenlerin bilmediği, hiçbir zaman bilemeyeceği bir Mr. Robert’ı korumalıydı.","He desired to preserve the Monsieur Robert that other people did not know, the one they could not and would not be able to perceive."
Duydum ki sende de kalmamış buğday. Arpayı da tüketmişsin.,"I had heard you too have no wheat left, and that all your barley's used up."
"""O söylediğin ne?""","""What are you listening to?"""
Duduk sesi sırtınızı ürpertiyor mu ve kayısı ağacından yapılmış bir flütün nasıl bu kadar keder banndırabildiğini merak etmekten kendinizi alamadığınız oluyor mu?,If the sound ofduduk sends shivers down your spine and you cannot help wondering how a Hute made from an apricot tree can cry so sadly 15.
"Arkadaşının arkasından vuran ışık, karanlığa alışmış gözlerini rahatsız ediyordu Rafo'nun. Gözlerini kırpıştırarak,","The light outside blinded Rafo, and he rubbed his eyes, squinting."
"""Ne Padişahımızın, ne eski üstatlara bağlı biz nakkaşların, ne de dinine bağlı Müslümanın kabul edebileceği bir şeydi,"" dedim sustum.","“It is nothing that could be accepted by Our Sultan, illuminators like us bound to the old masters or by Muslims bound to their faith,” I said and fell silent."
"Bunu hatırlıyorum. Çünkü, Dr. Adnan telefondaydı ve diyordu ki:","I remember the hour well, because I stood by the door looking at Dr. Adnan, who was talking at the telephone."
"Ne sanıyor beni, dalaştığı arkadaşlarından biri miyim?”",Who does he think I am? One of those chums of his with whom he gads about?
"Bu sefer Halit Bey benim yerime geçmiş, belediye reisi onun yerini almıştı.","I was now Halit Bey, while the mayor had become Halit Bey."
"Levent Kazancı evde gürültü patırtıdan hoşlanmazdı, özellikle de çocukların çıkarttığı seslerden.","Levent Kazanci didn't like noise, especially children's clamor."
"Ancak ben bu aşamada, sorunun bambaşka bir boyutta anlam kazandığını, aranması gerektiğini düşünüyorum.","However, I’m of the opinion that at this stage, the subject assumed quite another dimension."
"Zihninin kurabildiği ne kadar düşünce ve hayal varsa hepsini birer birer gözünün önünden geçirdi. Hepsi gözüne uyku gibi tatlı, fakat gece gibi karanlık ve huzur gibi olanaksız görünündü. Bu ac^ur en uzun gecesi-","He visualized all the thoughts and dreams that he had, but all of them were sweet like sleeping and dark as night."
"Masal bir anda, biz istiyoruz diye teşekkül etmez.","A myth, solely because we long for it, doesn’t just materialize out of thin air."
Batılı zannediyor ki Türkler de Araplara benzer. Niye? Biz kendimizi gösteremediğimiz için.,The Westerners need to see that we are not like the Arabs at all.
"— Herif yalandan yapıyor, bir şey değil.",“You may nothing .
Bir muharebe kazanmış gibiydi.,You’d think he’d just won a great victory.
ama kayıtsız kalamayacağı kadar çekici (bu bir ıtır kokusu mu yoksa onun elinin kokusu mu?),— yet alluring enough to fire readers’ curiosity — is this the aroma of attar or the smell of her hand?
"Anita için hissettiklerimin, hissetmiş olabileceklerimin adını koymakta hâlâ zorlanıyorum.",I am still at a loss to give a name to what I may have felt for Anita.
"Ve yan gözüyle, daima kibirli, daima dudaklarında küçümseyici tebessümü kendilerini dinleyen Cemal Beye hafiften bakardı.","And with her proud and ever pejorative smile, she flashed her eyes at Cemal Bey, who happened to be eavesdropping."
"""Sabiha Hanım nereye doğru yola çıktığımı öğrenince, benim hesabıma sevinecektir,"" dedi Tarık.","“When Sabiha Hanım finds out where I’ll be, she will be very happy for me.”"
"Gece, sevdaya uğramış gibi hem gamlı hem karanlıktı.","At night, it was both as distressing and dark as the idea of a black lover."
"Ama, bu köylülerin getirdiği ancak on beş gün yetti.",But what the villagers took lasted for only about fifteen days.
"Bir etiket altında yaşamanın, bir araba atı gibi beraber yaşamanın sıkıntısı onu içinden değiştiriyor.","The burden of being labeled, of living paired off like a draft horse, affects him."
Âdeta bir savaş manevrası yapıyor gibiydiler.,He and Colonel Kiazim looked as if they were rehearsing a military game.
Alt kat ise doğrudan doğruya hole bağlıydı.,And its ground floor was linked directly to the main hall.
Onun devri kapanmış olabilirdi ama torunları yeni bir dünyada onun gidişinden sonra da uzun yıllar yaşayacaktı.,"Perhaps he was a product of a bygone age and would, in any case, not be long for this world, but he had his grandchildren to consider."
"Ayağa kalktım, onu ittim ve mahzun olacağına hiç aldırmadan ona bağırmaya başladım.","I stood up, pushed him away and began shouting at him without paying the slightest mind to his disappointment."
"Ama tehlikeli bir bölgeye gidiyorsun. İşgal bölgesine.""","I am very happy for you, but the occupied area is dangerous.”"
Yoksa oğluna aşk ve hayat nasihatları veren babanın gücünü ve yaşını ima etmeye mi yarayacaktım?,Or was I meant to symbolize the strength and wisdom of a father offering advice on love and life to his son?
Hüsnü,Hüsnü
O koskoca Türkiye Cumhuriyeti'nin Marsilya konsolosuydu.,"After all, wasn’t he the Marseilles consul for the great Turkish republic?"
"İçeride ip kaçkını, at hırsızı kılıklı birkaç zavallı, mutsuzluktan ve umutsuzluktan afyonkeşlerde olduğu gibi, gözleri bu âlemden kayıp başka cennetlere kaçmış birkaç gariban; lonca adabına bile uymakta zorlanan iki dilenci, bir de bütün bu kalabalıktan ayrı bir köşeye çökmüş bir çelebi vardı.","Inside were a few unfortunates dressed like horse thieves or like men who’d escaped the gallows; a couple of pathetic characters whose sorrow and hopelessness caused their sights to slip from this world to distant paradises, as happens with opium addicts; two beggars who were at pains to follow even basic guild etiquette; and a young gentleman who’d seated himself in a corner at a distance from this crowd."
"Bir zamanlar bu broşun sahibi olan Şuşan Nine, bir değil birden fazla ismi olanlardandı. Birbiri ardına isimler almaya, hayatının her yeni safhasında bir önceki ismini bırakmaya yazgılı bir göçmen ruh.","Grandma Shushan, once the owner of this brooch, was one of those expatriate souls destined to adopt one name after another, only to abandon each at every new stage of her life."
"""Parası için mi yoksa, -hâşa-dinimize küfrettiği için mi?",“Is it for the money or — God forbid — because the book desecrates our religion?
"Kızını görünce, ""Sen hangi yüzle geldin buraya, baba katili seni,"" diye bir yılan gibi tısladı.","“How dare you come here,” she hissed at Sabahat. “You father killer.”"
"""Kızım, söylesene niye annenin bütün eşyaları yerde ve siz neden Üzerlerinde tepiniyorsunuz?""","“I’m talking to you. Why did you throw those things on the floor, and why were you jumping up and down on them?”"
"Şimdi hep karısını teselli etmek, onu avutmak, çareleri düşünüyor. Penbe, çıkınları, bohçalan hazırlayınca yola düzüldüler.",He was already thinking of all sorts of ways of comforting his wife.
Böylece bir kere daha sustuk.,We fell silent again.
"Din düşmanlarına, Şeytan ile işbirliği yapanlara, puta tapanlara, zındıklara ve resmedenlere sövdüler.","They railed against the enemies of religion, men who collaborated with the Devil, pagans, unbelievers and illustrators."
"O zamanlar annemi delirtmeye bayılırdım.""","Back then I used to enjoy driving my mom crazy"" 249"
Ali Bey'in ise kerhane eğlenceleri zaten canına minnetti.,Ali Bey was already grateful for the fun in the brothel.
"O adamı hiç görmemişsen ve kalabalık içinde o adamı bul deseler, binlerce adam içinden o resim sayesinde onu bulup çıkarabilirdin, İtalyan üstatları herhangi bir adamı, bir diğerinden kıyafetleri ve nişanlarıyla değil, yüzünün şekliyle ayırabilecek gibi resmetmenin usûllerini ve hünerini bulmuşlar.","If you’d never seen that man, if they told you to pick him out of a crowd of a thousand others, you’d be able to select the correct man with the help of that portrait. The Venetian masters had discovered painting techniques with which they could distinguish any one man from another — without relying on his outfit or medals, just by the distinctive shape of his face."
"Burnu müstehzî bir mânâ ile uzanır, uzanır, burnunun ucu kartal gagası gibi kıvrılır, kendi, için için gülerdi.","He would chuckle, his grey eyes twinkling, his long nose acquiring a humorous twist."
"Benden bir hile umuyorsanız, vücudumu pencereden aşağı atınız, parça parça ediniz. Fakat siz de ininiz!","If you even doubt me, cast my body out of the window and tear it into pieces!"
Oyunun mantığı bunu gerektiriyordu.,This was a consequence of the game’s rationale.
"""Yok canım!""",“I don’t believe this!”
Sonra mevzuu değiştirdi:,Then he changed the subject.
"""Bomba mı patladı bey?""","“Was it a bomb, sir?”"
"Öyle güzel şeylerdir ki bu resimler, insan onlara unuttuğu kendi hatıralarıymış gibi bakabilir ve baktıkça, resimler de, tıpkı yazı gibi, bakanla konuşur.","These illustrations were beautiful enough that you might mistake them for your own forgotten memories; and as with writing, as you looked at them, they spoke."
"Bilakis o hem görünüş itibarıyla, hem de mizaç itibarıyla yırtıcı bir av kuşuna benziyordu.","He looked like, and was, a bird of prey."
Ben öyle sanıyorum ki her şeyi olduğu gibi görenlerdenim.,It seems to me that I am the only one who sees things for what they truly are.
"Dahası, cesedi yıkayan işgüzar imamın çenesi durmamış olduğu için, Eniştemin eceliyle ölmediği dedikodusu, cenaze sırasında, cami avlusunda hissettiğim gibi, mahalleli arasında da yayılmıştı.","But since the meddlesome preacher who’d performed Enishte’s final ablution never stopped babbling, the rumor that my Enishte died under mysterious circumstances spread among the neighbors during the funeral — as I could sense standing in the courtyard of the mosque."
"Tencereyi ocaktan indirdi, beni tertemiz bir kumaştan geçirip süzdü, daha da saf oldum.","He took the pot off the stove and strained me through a clean piece of cheesecloth, purifying me even further."
"""Bu sözün de bana senin Kara'nın yanını tuttuğunu kanıtlıyor,"" dedi.","“This comment proves that you’ve taken Black’s side,” he said."
Konsolosluk'ta çalışanlardan biri halamın evini kiralamış.,One of the consulate employees is my aunt’s tenant.
Banu'nun sesi. Girişte çıkarılan ayakkabılar.,Banu's voice came from the front room.
Araç bir otobüsün yanında durdu. Askeri araçtan inip onlan bekleyen otobüse doluştular.,They stopped by a bus.
"108 yüzünden. Bugün oğlanı bana bırakmamış olaydın, Benoit'yı yal- ;",I had to leave Benoit on his own because of you.
Yaşlanınca işini oğullarına devretti.,"When he got old, he passed the business to his sons."
"İyi doktor olduğunu, çok parlak diplomalar aldığını sonradan herkesten öğrendim.",Later I heard from just about everyone that he was a respected doctor whose reputation rested on diplomas of distinction.
"Döne, evin önünde bir zaman dikildi kaldı.",Deuneh stood motionless before the door.
Sadece Alkolik Karikatürist cafe latteden şaşmadı. Homurdana homurdana cafe lattenin yanında getirdikleri vanilyalı bisküvileri kemirdi durdu.,"Only the cartoonist stuck to cafe lattes and nibbled the vanilla biscuits that came with them, although by this time his frustration was becoming visible."
"Haydarpaşa ve Sirkeci garları her gün, “Aman şunu bir görsek”, yahut “Olur şey değil, hakikaten de doğruymuş…” diyen ve gülen, kırılasıya gülen insanlarla dolup boşalıyordu.","Every day the railroad stations of Haydarpasa and Sirkeci would be overrun with people smiling, often splitting their sides in laughter, as they cried, “My goodness, take a look at this!” or “Unbelievable, but true!”"
Rozi İzzet’ten çok şey beklemişti.,Rosy had been expecting more than what İzzet could willingly afford.
"Ben de size sigaramdan ikram edeyim öyle ise...""",Can I offer you a cigarette?”
"1908 seçimi bir yana, hiçbir seçimin bu kadar hürriyetle yapıldığını ben hatırlamıyorum. Burada garip bir hadise olmuştu.","I do not remember any election which had been so free, with the possible exception of the one in 1908."
Yaklaştık... Buradan da bir kucak çalı almışlar. Kuru çalı.,"""We're getting near! They've taken an armful of brushwood from here, dry brushwood."
"— Aman Rabia’yı gezintisinden mahrum etme, şimdi oku, dedi.","“Don’t deprive Rabia of her walk; read it now,’ Osman."
Zaman farkı hesaplanırsa San Francisco'da sabahın erken saatleri olmalıydı.,"Given the time difference, it was early morning in San Francisco."
- Hacet yok! dedi.,"“Now, there’s no need for that."
- Tabiî… diye tasdik etti. Yalnız her şeyi paraya bağlamamalıdır.,"“Naturally,” he concurred, “but not everything depends on money alone."
"Enişteme rica edecektim, yemekten sonra, gider bakar mı diye.",I was going to ask Mahir if we could go and check on him after dinner.
"Savaş buydu işte ve esas zafer masada kazanılırdı, meydanlarda değil.","Macit was certain that victory was to be won around the table, not on the battlefield."
"Cariyeler seyisle birlikte yana çekildiler. Hanım, Ali Bey'in yanına doğru gelmeye başladı.","As the concubines and the stableman stood at the one side, the woman with ferace began to come towards Ali Bey."
"Artık, kafasını hiçbir konuya uzun uzadıya veremediği için, o günlerde vaktini, tıpkı kendi kendilerine oyalanamayan bencil ve aptal çocuklar gibi, evin içinde bir odadan ötekine girip çıkarak, bir kattan öbürüne çıkıp inerek, pencerelerden boş boş bakarak geçiriyordu.","By now, because he could not concentrate on any subject for long, he passed his time like a spoiled and stupid child who cannot amuse itself, wandering from room to room in the house, up and down the staircase from one floor to the other, gazing absently from this window or that."
"- Çirkin, efendim çirkin!","“Vile, I tell you, sir, utterly vile!"
"""Ya da gelinin güzelliğinin kusursuz olduğunu vurgulamak için nakkaş yüzüne Çinliler gibi beyaz boya sürdüğü gibi, gözlerini de Çinlilerinki gibi çekik çizdi de biz onu şimdi Çinli sanıyoruz,"" dedi Üstat Osman.","“Or perhaps we only think the bride is Chinese now, because the miniaturist, to emphasize her flawless beauty, whitened her face as the Chinese do and painted her with slanted eyes,” said Master Osman."
"""Orta kattaki ferah feza oda bırakılır da buraya yerleşilir mi?""",“Who would give up a spacious room on the middle floor for a cramped one up here?”
Bazı ayrıntıları kaçırmamız mümkündü bu yüzden.,"Therefore, it was evident we might have missed a good many things."
"Bu sahneyi, bana ‘uzaktan’, ‘bir başka yerden’ gelen ‘o ezginin’ hikâyesini daha önce de anlatmaya çalışmıştım.","I believe I have tried to describe this scene, the story of that tune heard from afar, somewhere else."
"Uzun bir süre hiç kımıldamadan öylece kaldılar. Aram, hayatının sonuna kadar bu mutfakta, Sabahat'ı kollarının arasında sıkarak kalmayı hayal etti.","The young couple was motionless for a long moment, a moment Aram would treasure for the rest of his life, that would buoy him in his darkest days."
Ermeniliğimi tam manâsıyla hissedebilmem için Türkiye'ye gelip Türklerle karşılaşmam gerekiyormuş...,"You see, for me to fully experience my Armenianness, I had to come to Turkey and meet the Turks."
"Artık beni sandalyeye de bağlamıyordu, ama bütün günü yavaş yavaş başka bir insan oluşunu keyifle gözlemek için, karşısında oturarak geçirdim.","Although he didn’t tie me to the chair, I spent the whole day sitting facing him so I could enjoy watching him become someone else."
"Akşamüstü otele döndüğüm zaman, Bekir Sami Bey beni görmeye geldi, yeni Rusya hakkındaki fikrini sordum.","Toward evening, when I returned to the inn, Bekir Sami Bey came to see me in my room. I wanted to know his impressions of the new Russia."
"Candarma bağırarak döndü, yere kapaklandı.","Screaming, the man spun around and fell to the ground."
Veya yine Türkiye üzerinden Kafkaslar'ayürüyebilirdi.,Or he could move toward the Caucasus.
"Fatih şehitleri, küçük taş lahitlerde yan yana uyuyorlardı.",The martyrs of Sultan Mehmed’s conquest slept side by side in small stone tombs.
"Araba kazaları, seri cinayetler, kasırgalar, depremler, yangınlar, seller, ölümcül hastalıklar, salgınlar, bilinmeyen virüsler... Feride bunların hepsini yutarcasma okurdu. Seçici belleği yerel, ulusal ve uluslararası felaketleri özenle depolardı.","Car accidents, serial killings, hurricanes, earthquakes, fires and floods, terminal illnesses, contagious diseases, and unknown viruses.... Feride would peruse them al Her selective memory would absorb local, national, and international calamities only to convey them to others out of the blue."
"""Eh, biz de o resmi yaparız o zaman,"" dedi şakacı katil.","“So? We can make that portrait, as well,” quipped the witty assassin."
"""Bana bir uyku ilacı verin.""",“Give me some sleeping pills!”
"Büyükada’daki evlerinin bahçelerinde, iki yılda bir, tüm komşulara dağıtılacak kadar çok meyve veren o incir ağacını, yere düşen incirlerden çıkan kurtları, her cuma sabahı, odun sobasıyla ısıtılan kurnalı banyolarını, bisiklet gezintilerini, Mimiko’yu, Madam Viktorya’nın arada sırada kendilerine gönderdiği, ‘tavadan yeni çıkmış’ o sıcacık kıymalı börekleri, ‘pastelikos’ları anımsamıştı. Bunların tümü, bir ‘adada’, ‘o adada’ olmuştu...","The image of the fig tree in the garden of their house on the island, whose plentiful yield every other year warranted their generous distribution of figs to the people of the neighborhood; of the worms that ate away the figs fallen to the ground; of the bathroom with the marble basin heated every Friday morning by a wood stove; of their going cycling; of Mimico; of those hot pastries that Madame Victoria used to send them now and then and of the pastelicos; although so long ago, still fresh in the store of his memory."
Artık sokakta hep ev yapmak oynuyorlar.,In the street they played at repairing a house.
Adam gönderelim de o buraya gelsin.,"Let's send a man to bring Lame Ali here."""
"Yüzündeki, mahzun bakıştan beni ne kadar sevdiğini, istediğini de hemen anlayıveriyorum.",I can tell from his innocent expression how much he loves and desires me.
"Bu duyguya başka bir yerde, başka bir zamanda bir kez daha kapılacaktım. Başka bir yerde, başka bir zamanda... Başka insanlarla birlikte olduğumuz, sonuna kadar olmak istediğimiz bir zamanda... Jülyet’in o akşamki güzelliğinde bardaki ışığın, kendimi birdenbire içinde bulduğum o ortamın da bir etkisi vardı hiç kuşku yok ki.","The same feeling I was to experience elsewhere at some other time, at a time when we were, and wanted to be, always together with other people. The illumination of the bar and the atmosphere in which I had found myself had greatly contributed to Juliet’s beauty, no doubt."
"Ama şu sıralar işten başımızı kaldıramıyoruz.""","Unfortunately, we are very busy at the office these days. I’m tied to my desk.”"
Bütün gezinti halkı gözlerini bize dikti.,All the society stared at us.
"Karargâh’ta, bir taraftan âdeta bir manastır hayatı yaşarken, diğer taraftan Büyük Millet Meclisi’ nin müşkül vaziyeti Mustafa Kemal Paşa’yı yoruyordu.","But the difficulties of dealing with the National Assembly and the enforced austerity of a hermit’s life at headquarters were obviously telling on Mustafa Kemal Pasha, and he was becoming more and more irritable."
"intihar teşebbüsü sonrasında, yaralı babasının baş ucunda otururken, Paşa'nm böyle bir zaafa kapılmış olmasına sebebiyet verdiği için, asla bağışlanmayacağını da bilmişti. Nitekim","When she sat at his bedside after his humiliating attempt at suicide, she knew he would never forgive her."
"Ardında, ‘yaşanmış’ birçok hayatta olduğu gibi, gerçek, unutulamayacak birkaç soru bırakan bir yalnızlık, bir ihanetti artık hatırlayacağım.","Henceforth all that I would remember would be a real loneliness that had left behind a few unanswered questions; it had a betrayal in its past, just like in the case of all lives similarly lived."
"""Ben Ferit'e gidiyorum. Bakalım neden durmadık.""",“I’d better go and find Ferit and see why we didn’t stop.
"Ayrıca Sabahat ve ablaları plaja yüzmeye giderlerken onların sepetlerini, çantalarını taşıdı, akşamüstü vapurunu karşılayarak Mahir Bey'in elinden paketlerini aldı, zaman","He also carried baskets and bags for Sabahat and her sisters when they ventured down to the beach for a swim, met Mahir Bey on the quay in the evenings to relieve him of any parcels, and occasionally served as a companion to Reşat Bey."
Ben Allah hariç kimseden korkmuyorum.,I fear no one but Allah.
"Ama yedi buçuğa kadar uyanır merak etme.""","She will be awake before seven thirty, though, don't worry."""
"Şimdi, jandarma benim Çamlıca’dan geçtiğimi onlara haber vermek mecburiyetindeydi.",He had to report to them that I was passing Tchamlidja.
"Kebabı utana utana yediler. Sanki dükkandaki insanların hepsi durmuş, onlara bakıyordu.","They ate their meat balls timidly, as if all the people in the shop had stopped to gaze at them."
Macide de kaynanasının fikrindeydi.,Macide concurred with her mother-in-law.
"Anlamasına anlamamıştı ama, Dinah’dan gene de küçük, sıcak bir anı saklamıştı.","She couldn’t, but that had inspired her."
Gayet iyi nişancıyım.,"I am, I think, fairly expert."
"Hattâ hususî bir irade ile bu nişanın geri alındığı bile olurdu; fazla şımarıklığı yüzünden kendisini azarlayan, bununla da kalmayıp, annesine şikâyet eden aşçı kadına, iş olup bittikten ve Sabiha epeyce ağladıktan sonra, kendisine hediye ettiği kurdeleyi lütfen çıkarmasını rica etmişti.","Not to mention that the honor might even be revoked by special proclamation. On one occasion, the cook had scolded her for acting spoiled and, not satisfied with that, complained to her mother, sending Sabiha into a tantrum; later the girl politely requested that the cook remove the bow she’d given her."
Karşılığında Çevriye Teyze gassala bol bol bahşiş verdi.,"Instead, Auntie Cevriye tipped him, generously."
"""Piyes beyba'cığım, piyes.","“A play, Father."
Hanım ise bu gerçeği bilmez değildi.,The lady knew this truth very well.
Tevfik Bey için bu olmayacak bir şey değildi. O destebaşı yaratılanlardandı.,This was no anomaly for Tevfik; he was made to persevere.
"""Taşın üzerine hepiniz zor sığmışsınız zaten.""","“You all can barely fit in that courtyard as it is,” she said."
"Mayısın sonlarında, Hilâl-i Ahmer Hastahanesi’ne hastabakıcı olarak Eskişehir’e gittim.",At the end of May I decided to go as a nurse to the Red Crescent hospital in Eskishehir.
O zaman ne yapacaksın?..,What then?
Kirkor Amca,Uncle Kirkor
